CustomerID,TelecomCompany,Region,Age,Gender,ContractType,ContractDuration,TenureMonths,MonthlyCharges,DataUsageGB,CallDurationMinutes,ComplaintsFiled,CustomerSupportCalls,PaymentMethod,InternetService,AdditionalServices,DiscountOfferUsed,BillingIssuesReported,Churn
3226,Tigo,Mwanza,18,Female,Postpaid,24 Months,30,22939.33,15.51,3838,3,7,Bank Transfer,None,Cloud Storage,No,0,No
11515,Airtel,Pemba South,69,Female,Postpaid,12 Months,41,15067.32,86.73,657,2,6,Mobile Money,None,Cloud Storage,Yes,4,No
4979,Halotel,Dar es Salaam,58,Female,Prepaid,6 Months,10,28930.31,82.55,2493,4,1,Mobile Money,None,None,Yes,0,No
377,Tigo,Arusha,29,Female,Prepaid,1 Month,6,39403.99,48.43,725,3,7,Mobile Money,Fiber,VPN,Yes,2,No
8976,Airtel,Dar es Salaam,21,Male,Postpaid,1 Month,5,6756.82,1.7,707,1,8,Bank Transfer,Mobile Data,VPN,No,2,Yes
9696,Airtel,Mwanza,38,Female,Postpaid,1 Month,20,24720.95,6.28,2316,6,7,Cash,DSL,Streaming,No,0,No
11575,Zantel,Lindi,23,Female,Postpaid,6 Months,4,32503.52,86.08,2899,9,5,Cash,Mobile Data,Streaming,No,2,No
7571,Tigo,Arusha,57,Female,Prepaid,1 Month,3,23357.09,1.13,831,9,2,Cash,Mobile Data,Cloud Storage,No,1,Yes
4850,Halotel,Dar es Salaam,54,Female,Prepaid,1 Month,54,27825.5,38.69,1069,6,1,Cash,DSL,Cloud Storage,No,1,Yes
2301,Tigo,Zanzibar,36,Female,Postpaid,1 Month,38,35858.89,67.69,3369,3,3,Credit Card,Fiber,None,No,0,No
6182,Vodacom,Dar es Salaam,42,Female,Postpaid,12 Months,52,44745.95,65.13,151,6,1,Cash,DSL,None,No,2,No
790,Halotel,Dodoma,45,Male,Prepaid,6 Months,26,37513.6,53.12,3649,1,1,Cash,Fiber,None,No,1,No
9902,Airtel,Mbeya,35,Female,Prepaid,6 Months,15,18993.35,10.92,452,4,8,Mobile Money,Fiber,None,Yes,2,No
7835,Halotel,Mbeya,22,Female,Postpaid,12 Months,56,33334.64,91.21,3088,9,6,Cash,Fiber,VPN,No,2,No
967,Halotel,Mwanza,68,Female,Postpaid,6 Months,17,44689.48,89.48,1460,9,6,Mobile Money,Fiber,VPN,Yes,0,Yes
9172,Halotel,Zanzibar,24,Male,Postpaid,12 Months,46,8733.58,94.33,4304,3,6,Bank Transfer,DSL,None,No,2,No
8407,Halotel,Arusha,49,Female,Postpaid,24 Months,35,32879.51,58.2,3970,6,9,Credit Card,DSL,None,No,1,No
5027,Tigo,Arusha,40,Female,Prepaid,6 Months,42,16461.93,99.97,2101,7,8,Credit Card,None,Cloud Storage,No,0,No
2612,Halotel,Zanzibar,69,Female,Prepaid,24 Months,11,33359.37,22.02,1124,9,7,Credit Card,DSL,Streaming,No,0,No
6112,Halotel,Dar es Salaam,38,Male,Postpaid,6 Months,15,49550.86,26.22,4244,9,6,Mobile Money,Mobile Data,Cloud Storage,No,0,No
11799,Vodacom,Singida,51,Female,Prepaid,1 Month,32,34995.75,81.19,4906,8,8,Bank Transfer,None,None,No,4,Yes
10153,Airtel,Ruvuma,22,Male,Postpaid,6 Months,13,19721.87,55.08,2179,8,8,Bank Transfer,Broadband,Streaming,No,0,No
39,Airtel,Mwanza,62,Female,Postpaid,6 Months,50,46441.33,38.17,290,2,4,Bank Transfer,None,Cloud Storage,Yes,1,No
12225,Airtel,Pemba South,49,Female,Prepaid,6 Months,34,36903.26,92.8,4274,2,8,Credit Card,Broadband,None,Yes,3,No
3985,Tigo,Mwanza,59,Male,Postpaid,6 Months,2,36568.75,72.48,4800,9,0,Cash,DSL,Streaming,Yes,0,Yes
3179,Vodacom,Arusha,59,Female,Prepaid,6 Months,21,10394.65,25.51,1690,3,3,Credit Card,Fiber,Streaming,No,0,Yes
1459,Halotel,Zanzibar,28,Male,Prepaid,6 Months,5,26132.7,78.8,1061,2,7,Credit Card,Fiber,None,No,2,No
6755,Airtel,Mwanza,63,Male,Prepaid,12 Months,23,41550.15,51.61,2226,7,0,Mobile Money,Fiber,None,Yes,0,No
8733,Airtel,Zanzibar,32,Female,Prepaid,12 Months,5,37794.05,10.15,1634,9,0,Credit Card,None,Cloud Storage,No,2,No
11717,Tigo,Zanzibar North,61,Male,Postpaid,1 Month,42,21746.35,42.34,2889,2,6,Cash,Broadband,None,Yes,4,No
3819,Airtel,Mwanza,24,Male,Postpaid,1 Month,28,34848.71,20.28,4410,0,8,Cash,Fiber,Streaming,No,2,Yes
736,Tigo,Mwanza,58,Male,Postpaid,24 Months,20,43877.93,20.67,2137,6,3,Mobile Money,Mobile Data,Cloud Storage,No,2,No
512,Vodacom,Mwanza,21,Female,Postpaid,1 Month,28,7622.46,57.71,1009,0,4,Bank Transfer,Mobile Data,None,No,0,No
9032,Vodacom,Dar es Salaam,50,Male,Prepaid,6 Months,5,39264.07,92.53,1847,5,4,Bank Transfer,None,None,No,1,Yes
4276,Tigo,Mbeya,39,Male,Postpaid,12 Months,14,26431.37,18.29,639,9,4,Cash,None,Streaming,Yes,0,No
5117,Vodacom,Mbeya,25,Male,Prepaid,6 Months,47,17702.29,36.88,1042,0,7,Cash,Fiber,Cloud Storage,No,1,No
4672,Airtel,Arusha,46,Male,Prepaid,6 Months,46,15698.4,11.38,3424,0,5,Cash,Fiber,Cloud Storage,Yes,1,No
5867,Vodacom,Mwanza,49,Female,Prepaid,12 Months,2,37078.85,61.44,2214,6,0,Mobile Money,None,None,No,2,Yes
1272,Halotel,Mbeya,53,Female,Postpaid,24 Months,29,20290.69,82.76,183,9,5,Mobile Money,DSL,None,No,1,No
12474,Halotel,Pwani,67,Male,Prepaid,6 Months,47,44074.79,72.93,1812,5,7,Mobile Money,None,VPN,Yes,3,Yes
6640,Halotel,Zanzibar,33,Female,Prepaid,24 Months,16,37439.25,12.84,3709,9,3,Bank Transfer,Fiber,VPN,Yes,0,No
2349,Tigo,Tanga,66,Female,Postpaid,24 Months,13,46773.83,16.49,4390,0,0,Cash,Fiber,VPN,No,0,No
9930,Tigo,Tanga,34,Female,Prepaid,12 Months,4,29531.05,91.13,2906,5,4,Credit Card,Fiber,Cloud Storage,No,1,No
1215,Airtel,Dar es Salaam,51,Male,Postpaid,12 Months,25,46500.7,71.24,4421,1,3,Mobile Money,Mobile Data,Cloud Storage,No,2,No
5066,Vodacom,Arusha,41,Female,Postpaid,6 Months,25,26517.04,50.2,4354,0,0,Cash,None,None,No,1,Yes
7913,Halotel,Arusha,67,Female,Prepaid,12 Months,3,19723.68,37.32,1962,0,6,Bank Transfer,None,VPN,No,2,No
805,Halotel,Dodoma,55,Female,Prepaid,6 Months,29,24502.02,71.01,3125,1,6,Cash,Mobile Data,Cloud Storage,No,2,No
4263,Halotel,Dodoma,51,Male,Prepaid,24 Months,27,11388.1,42.11,4573,4,4,Bank Transfer,DSL,None,No,0,Yes
4025,Vodacom,Tanga,56,Male,Prepaid,6 Months,39,11604.07,31.66,1834,6,5,Bank Transfer,Fiber,VPN,Yes,2,No
4048,Tigo,Dar es Salaam,34,Male,Postpaid,6 Months,44,42590.72,30.43,2155,2,5,Bank Transfer,Fiber,Streaming,No,2,No
5374,Tigo,Tanga,28,Male,Prepaid,12 Months,41,38946.3,74.51,4925,4,5,Bank Transfer,None,Streaming,No,2,No
8238,Airtel,Mbeya,56,Female,Postpaid,24 Months,43,12058.28,80.58,2140,9,6,Cash,Fiber,Cloud Storage,No,0,No
356,Vodacom,Mbeya,58,Female,Postpaid,6 Months,39,30800.82,7.59,1961,1,2,Credit Card,None,VPN,No,0,No
8404,Airtel,Tanga,60,Female,Postpaid,12 Months,35,36899.84,98.14,3451,2,7,Bank Transfer,DSL,Cloud Storage,No,2,No
